Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP,Predicted FP
"2,2,4-trimethylpentane",65.78947368,12.28070175,11.40350877,0,0,0,0,0,0,0,0,114,0.6,261,274.83
"2,2,3,3-tetramethylbutane",78.94736842,0,0,0,0,0,0,0,0,0,0,114,1,278,281.57
"3-Ethyl-2,4-dimethylpentane",58.59375,10.9375,30.46875,0,0,0,0,0,0,0,0,128,0.9,299.7,297.62
3-Ethyl-4-methylhexane,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.666666667,297,323.06
"2,2,5-Trimethylhexane",58.59375,21.875,10.15625,0,0,0,0,0,0,0,0,128,0.5,286,294.69
"3,4-dimethylheptane",46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.5,333,323.36
"3,5-dimethylheptane",46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.428571429,327.9,323.49
"2,2-dimethylheptane",46.875,43.75,0,0,0,0,0,0,0,0,0,128,0.285714286,297.4,303.18
"2,6-dimethylheptane",46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.285714286,326.1,323.62
"2,5-dimethylheptane",46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.357142857,327.2,323.56
"2,2,3-trimethylhexane",58.59375,21.875,10.15625,0,0,0,0,0,0,0,0,128,0.583333333,298.4,294.68
"2,3,3-trimethylhexane",58.59375,21.875,10.15625,0,0,0,0,0,0,0,0,128,0.57,300.7,294.68
"2,4,4-trimethylhexane",58.59375,21.875,10.15625,0,0,0,0,0,0,0,0,128,0.666666667,296.1,294.67
"2,3,4-trimethylhexane",58.59375,10.9375,30.46875,0,0,0,0,0,0,0,0,128,0.666666667,301,297.92
4-Ethyl-2-methylhexane,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,128,0.583333333,325.2,323.21
"2-methyloctane	",35.15625,54.6875,10.15625,0,0,0,0,0,0,0,0,128,0.125,296,299.83
"2,2,3,3-tetramethylpentane",70.3125,10.9375,0,0,0,0,0,0,0,0,0,128,1,289,285.13
"2,2,3,4-tetramethylpentane",70.3125,0,20.3125,0,0,0,0,0,0,0,0,128,0.9,284,291.12
"2,2,4,4-tetramethylpentane",70.3125,10.9375,0,0,0,0,0,0,0,0,0,128,0.8,276,285.24
"2,3,3,4-tetramethylpentane",70.3125,0,20.3125,0,0,0,0,0,0,0,0,128,1,284,291.03
"2,5,5-trimethylheptane",52.81690141,29.57746479,9.154929577,0,0,0,0,0,0,0,0,142,0.571428571,312.7,314.33
"2,4,6-trimethylheptane",52.81690141,19.71830986,27.46478873,0,0,0,0,0,0,0,0,142,0.571428571,310.1,320.10
"2,4,4-trimethylheptane",52.81690141,29.57746479,9.154929577,0,0,0,0,0,0,0,0,142,0.714285714,311.5,314.24
"2,4,5-trimethylheptane",52.81690141,19.71830986,27.46478873,0,0,0,0,0,0,0,0,142,0.642857143,313.7,320.00
"2,4-dimethyloctane",42.25352113,39.43661972,18.30985915,0,0,0,0,0,0,0,0,142,0.375,351.5,350.92
"3,3-dimethyloctane",42.25352113,49.29577465,0,0,0,0,0,0,0,0,0,142,0.375,316.5,315.21
"2,2-Dimethyloctane",42.25352113,49.29577465,0,0,0,0,0,0,0,0,0,142,0.25,313.9,315.35
"3,4-dimethyloctane",42.25352113,39.43661972,18.30985915,0,0,0,0,0,0,0,0,142,0.4375,359.5,350.90
