Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP
"2,4,5-trimethylheptane",52.81690141,19.71830986,27.46478873,0,0,0,0,0,0,0,0,142,0.642857143,313.7
"2,4-dimethyloctane",42.25352113,39.43661972,18.30985915,0,0,0,0,0,0,0,0,142,0.375,351.5
"3,3-dimethyloctane",42.25352113,49.29577465,0,0,0,0,0,0,0,0,0,142,0.375,316.5
"2,2-Dimethyloctane",42.25352113,49.29577465,0,0,0,0,0,0,0,0,0,142,0.25,313.9
"3,4-dimethyloctane",42.25352113,39.43661972,18.30985915,0,0,0,0,0,0,0,0,142,0.4375,359.5
"3,6-dimethyloctane",42.25352113,39.43661972,18.30985915,0,0,0,0,0,0,0,0,142,0.375,356.5
"4,5-dimethyloctane",42.25352113,39.43661972,18.30985915,0,0,0,0,0,0,0,0,142,0.5,358.9
"2,6-dimethyloctane",42.25352113,39.43661972,18.30985915,0,0,0,0,0,0,0,0,142,0.3125,355.4
"4,4-dimethyloctane",42.25352113,49.29577465,0,0,0,0,0,0,0,0,0,142,0.5,314.8
"2,2,3,3-tetramethylhexane",63.38028169,19.71830986,0,0,0,0,0,0,0,0,0,142,0.833333333,304
"2,2,3,4-tetramethylhexane",63.38028169,9.85915493,18.30985915,0,0,0,0,0,0,0,0,142,0.833333333,304
"2,2,4,4-tetramethylhexane",63.38028169,19.71830986,0,0,0,0,0,0,0,0,0,142,0.833333333,304
"2,2,5,5-tetramethylhexane",63.38028169,19.71830986,0,0,0,0,0,0,0,0,0,142,0.666666667,289
"2,3,3,4-tetramethylhexane",63.38028169,9.85915493,18.30985915,0,0,0,0,0,0,0,0,142,0.916666667,304
"2,3,4,4-tetramethylhexane",63.38028169,9.85915493,18.30985915,0,0,0,0,0,0,0,0,142,0.916666667,304
"2,3,4,5-tetramethylhexane",63.38028169,0,36.61971831,0,0,0,0,0,0,0,0,142,0.833333333,304
"3,3,4,4-tetramethylhexane",63.38028169,19.71830986,0,0,0,0,0,0,0,0,0,142,1,304
2-methylnonane,31.69014085,59.15492958,9.154929577,0,0,0,0,0,0,0,0,142,0.111111111,314
2-Methyl-1-butene,42.85714286,20,0,37.14285714,0,0,0,0,0,0,0,70,0.25,253
3-Methyl-1-butene,42.85714286,0,18.57142857,38.57142857,0,0,0,0,0,0,0,70,0.375,266
2-Methyl-2-butene,64.28571429,0,0,35.71428571,0,0,0,0,0,0,0,70,0.25,253
1-Pentene,21.42857143,40,0,38.57142857,0,0,0,0,0,0,0,70,0,255
2-methyl-2-butene,64.28571429,0,0,35.71428571,0,0,0,0,0,0,0,70,0.25,253
"4-Methyl-1,3-pentadiene",36.58536585,0,0,63.41463415,0,0,0,0,0,0,0,82,0.2,239
2-hexene,35.71428571,33.33333333,0,30.95238095,0,0,0,0,0,0,0,84,0,251.85
3-methyl-1-pentene,35.71428571,16.66666667,15.47619048,32.14285714,0,0,0,0,0,0,0,84,0.3,244.85
3-methyl-2-pentene,53.57142857,16.66666667,0,29.76190476,0,0,0,0,0,0,0,84,0.3,266.85
4-methyl-1-pentene,35.71428571,16.66666667,15.47619048,32.14285714,0,0,0,0,0,0,0,84,0.2,241.85
4-methyl-2-pentene,53.57142857,0,15.47619048,30.95238095,0,0,0,0,0,0,0,84,0.2,238
2-methyl-1-pentene,35.71428571,33.33333333,0,30.95238095,0,0,0,0,0,0,0,84,0.2,246.85
2-methyl-2-pentene,53.57142857,16.66666667,0,29.76190476,0,0,0,0,0,0,0,84,0.2,249.85
